,samplenames,lat,lon
278,Narrandra_F_N2,34.75,146.55
279,Narrandra_F_N5,34.75,146.55
280,Narrandra_M_N11,34.75,146.55
281,Narrandra_M_N15,34.75,146.55
282,Narrandra_M_N16,34.75,146.55
283,Narrandra_M_N3,34.75,146.55
284,Narrandra_M_N6,34.75,146.55
285,Narrandra_M_N7,34.75,146.55
286,Narrandra_M_N8,34.75,146.55
287,Narrandra_M_N9,34.75,146.55
288,Noosa_F_65657,26.5378125,152.9149312
289,Noosa_F_70593,26.5378125,152.9149312
290,Noosa_F_74009,26.5378125,152.9149312
291,Noosa_F_79303,26.5378125,152.9149312
292,Noosa_M_49880,26.5378125,152.9149312
293,Noosa_M_79211,26.5378125,152.9149312
294,Noosa_M_79763,26.5378125,152.9149312
295,North_Burnett_F_72194,25.9059802,151.8958998
296,North_Burnett_F_80750,25.9059802,151.8958998
297,North_Burnett_F_87227,25.9059802,151.8958998
298,North_Burnett_M_55989,25.9059802,151.8958998
299,North_Burnett_M_73175,25.9059802,151.8958998
300,Northern-Rivers_F_M50347,29.04087301,153.3430159
301,Northern-Rivers_F_M50350,28.55011112,152.9133056
302,Northern-Rivers_F_M50379,28.80509609,153.3072672
303,Northern-Rivers_F_M50411,28.80509609,153.3072672
304,Northern-Rivers_F_M50451,28.80509609,153.3072672
305,Northern-Rivers_F_M50467,28.80509609,153.3072672
306,Northern-Rivers_F_M50517,28.80509609,153.3072672
307,Northern-Rivers_F_M50531,28.64239583,153.5226389
308,Northern-Rivers_M_M50329,28.87715279,153.446875
309,Northern-Rivers_M_M50450,28.87715279,153.446875
310,Northern-Rivers_M_M50511,28.80509609,153.3072672
311,Pilliga_F_M47418,31.16694443,149.2358333
312,Pilliga_M_M47035,31.16694443,149.2358333
313,Pilliga_M_M47420,31.16694443,149.2358333
314,Pilliga_M_M47976,30.3325,149.7811111
315,Port_Macquarie_F_50048,31.33733517,152.7638472
316,Port_Macquarie_F_Emma,31.33733517,152.7638472
317,Port_Macquarie_F_M50239,31.33733517,152.7638472
318,Port_Macquarie_M_50047,31.33733517,152.7638472
319,Port_Macquarie_M_Callum,31.33733517,152.7638472
320,Port_Macquarie_M_M50237,31.33733517,152.7638472
321,Port-Macquarie_F_81925,31.33733517,152.7638472
322,Port-Macquarie_F_81926,31.33733517,152.7638472
323,Port-Macquarie_F_81927,31.33733517,152.7638472
324,Port-Macquarie_F_81996,31.33733517,152.7638472
325,Port-Macquarie_M_81900,31.33733517,152.7638472
326,Port-Macquarie_M_81913,31.33733517,152.7638472
327,Port-Macquarie_M_81967,31.33733517,152.7638472
328,PTS_F_Beach-RS,32.751799,152.0334437
329,PTS_F_Eila,32.751799,152.0334437
330,PTS_F_Gilchrist,32.751799,152.0334437
331,PTS_F_Joanie,32.751799,152.0334437
332,PTS_F_MidnightR,32.751799,152.0334437
333,PTS_F_SES-Maree,32.751799,152.0334437
334,PTS_M_Galloping,32.751799,152.0334437
335,PTS_M_Howie,32.751799,152.0334437
336,PTS_M_Solstice,32.751799,152.0334437
337,PTS_M_Tai,32.751799,152.0334437
338,Redland_F_94829,27.48716204,153.3644724
339,Redland_F_95776,27.48716204,153.3644724
340,Redland_M_63768,27.48716204,153.3644724
341,Redland_M_71818,27.48716204,153.3644724
342,Redland_M_83962,27.48716204,153.3644724
343,Richmond_Valley_F_M49226_001,29.04087301,153.3430159
344,SHBS_F_SAWS03,37.01280339,145.7302404
345,SHBS_F_SAWS04,37.01280339,145.7302404
346,SHBS_F_SAWS10,37.01280339,145.7302404
347,SHBS_M_SAWS05,37.01280339,145.7302404
348,SHBS_M_SAWS24,37.01280339,145.7302404
349,SHBS_M_SAWS32,37.01280339,145.7302404
350,SHBS_M_SAWS37,37.01280339,145.7302404
351,SHGLD_F_SAWS23,38.18614646,146.577313
352,SHGLD_F_SAWS31,38.18614646,146.577313
353,SHGLD_M_SAWS17,38.18614646,146.577313
354,SHGLD_M_SAWS27,38.18614646,146.577313
355,SHGLD_M_SAWS33,38.18614646,146.577313
356,South_Burnett_F_85725,26.49092804,151.8819776
357,South_Burnett_F_86009,26.49092804,151.8819776
358,South_Burnett_F_86231,26.49092804,151.8819776
359,South_Burnett_F_86628,26.49092804,151.8819776
360,South_Burnett_F_86919,26.49092804,151.8819776
361,South_Burnett_F_93286,26.49092804,151.8819776
362,South_Burnett_F_95162,26.49092804,151.8819776
363,South_Burnett_M_53159,26.49092804,151.8819776
364,South_Burnett_M_65901,26.49092804,151.8819776
365,South_Burnett_M_80665,26.49092804,151.8819776
366,South_Clarence_F_M50437,29.60427778,152.8518889
367,South_Kempsey_M_M47634_001,31.1133333,152.8341667
368,South-West-Victoria_F_Z73845,38.13744967,141.7995293
369,South-West-Victoria_F_Z73848,37.997746,142.113992
370,South-West-Victoria_M_Z73841,38.13744967,141.7995293
371,South-West-Victoria_M_Z73856,38.13744967,141.7995293
372,Southern_Downs_F_62050,28.6551515,151.9344707
